model,response,n_predictors,n_pairs,RMSE,MAE,R2
M8_anom_24m,GPPsat,408,395,7.09515131043376,5.5055246922336,0.336308831383765
M1_12m,NEPmax,143,395,7.59038544581947,5.77880733684133,0.239417067071769
M1_24m,NEPmax,286,395,7.58465734751396,5.75326002361829,0.240564584532353
M2_12m,NEPmax,243,395,6.66701603835306,5.03502085855344,0.413211066028533
M2_24m,NEPmax,386,395,6.70040234776148,5.08847294418934,0.407319444093433
M3_12m,NEPmax,164,395,7.50015152629098,5.65924381288604,0.257393082469645
M3_24m,NEPmax,307,395,7.48280909166085,5.66728763705249,0.260823339155308
M4_12m,NEPmax,264,395,6.65249333233667,4.99867032438262,0.415764676726202
M4_24m,NEPmax,407,395,6.69534241460532,5.02462018482376,0.408214253537315
M5_raw_12m,NEPmax,144,395,6.16576867402717,4.56793207831493,0.49812753478113
M5_raw_24m,NEPmax,287,395,6.56452575976203,4.86006356442256,0.431113498408183
M5_anom_12m,NEPmax,144,395,7.59810444487641,5.80201797462141,0.237869339570231
M5_anom_24m,NEPmax,287,395,7.60562631705282,5.7646553142687,0.236359624346449
M6_raw_12m,NEPmax,244,395,5.83636813877483,4.28754662244002,0.550319276338413
M6_raw_24m,NEPmax,387,395,6.09140317794355,4.53458064488774,0.510160721893222
M6_anom_12m,NEPmax,244,395,6.61046097338217,5.01233032985943,0.42312408595367
M6_anom_24m,NEPmax,387,395,6.74011579700456,5.14532133509308,0.400272959034505
M7_raw_12m,NEPmax,165,395,6.3315512753547,4.65108774791507,0.470776437526303
M7_raw_24m,NEPmax,308,395,6.56859191054899,4.85689267490485,0.430408529066344
M7_anom_12m,NEPmax,165,395,7.49811960594359,5.6640864613375,0.257795397997428
M7_anom_24m,NEPmax,308,395,7.43683031508435,5.61294587088653,0.269879302443611
M8_raw_12m,NEPmax,265,395,5.88780567641773,4.31611172619373,0.542358025015308
M8_raw_24m,NEPmax,408,395,6.07704440621939,4.44828767947247,0.512467317083796
M8_anom_12m,NEPmax,265,395,6.65014016206678,5.00291808764924,0.416177923901788
M8_anom_24m,NEPmax,408,395,6.69375553641043,5.01481892786962,0.408494741240802
M1_12m,ETmax,143,395,0.0523035779699668,0.0393665996297106,0.364199122661237
M1_24m,ETmax,286,395,0.0521070258650929,0.0392779497764257,0.368968708083627
M2_12m,ETmax,243,395,0.0526517812750418,0.0399775095622083,0.355705443863699
