response,mtry_frac,mtry,min_node,ntrees,cv_rmse,n_pred
uWUE,0.7,285,5,1000,0.606158578630243,408
uWUE,0.7,285,10,500,0.607635160955215,408
uWUE,0.7,285,10,1000,0.60542817466926,408
uWUE,1,408,3,500,0.606434526773222,408
uWUE,1,408,3,1000,0.603847518419073,408
uWUE,1,408,5,500,0.605465109905892,408
uWUE,1,408,5,1000,0.603650031303645,408
uWUE,1,408,10,500,0.604052045608221,408
uWUE,1,408,10,1000,0.602035375659998,408
WUE,0.2,81,3,500,0.720776118672404,408
WUE,0.2,81,3,1000,0.718882410214501,408
WUE,0.2,81,5,500,0.720708296044737,408
WUE,0.2,81,5,1000,0.719267352346315,408
WUE,0.2,81,10,500,0.720915715679231,408
WUE,0.2,81,10,1000,0.717744414981043,408
WUE,0.33,134,3,500,0.663009164053353,408
WUE,0.33,134,3,1000,0.663713979225017,408
WUE,0.33,134,5,500,0.662937361721268,408
WUE,0.33,134,5,1000,0.663562038506335,408
WUE,0.33,134,10,500,0.662931170468491,408
WUE,0.33,134,10,1000,0.664637466312667,408
WUE,0.5,204,3,500,0.632991067989446,408
WUE,0.5,204,3,1000,0.63553914015466,408
WUE,0.5,204,5,500,0.634204052355523,408
WUE,0.5,204,5,1000,0.63556254690564,408
WUE,0.5,204,10,500,0.634504849027995,408
WUE,0.5,204,10,1000,0.63566302707197,408
WUE,0.7,285,3,500,0.625211595967452,408
WUE,0.7,285,3,1000,0.625015639524255,408
WUE,0.7,285,5,500,0.625475435034683,408
WUE,0.7,285,5,1000,0.625170044012742,408
WUE,0.7,285,10,500,0.625590044437556,408
WUE,0.7,285,10,1000,0.625174455053963,408
WUE,1,408,3,500,0.623262083201682,408
WUE,1,408,3,1000,0.624367163951799,408
WUE,1,408,5,500,0.622897168307542,408
WUE,1,408,5,1000,0.624312853612006,408
WUE,1,408,10,500,0.622542470447839,408
WUE,1,408,10,1000,0.624008893266935,408
