model,response,R2_base,RMSE_base,R2_tuned,RMSE_tuned,dR2,dRMSE_pct,dataset
M5_anom_12m,NEPmax,0.259555554389268,7.68116737999619,0.263798319312961,7.65912912550095,0.00424276492369302,-0.28691282724334,all_sites
M5_anom_12m,WUE,0.21308492500384,1.09046471226955,0.195849636837601,1.10234189899978,-0.017235288166239,1.08918579359714,all_sites
M5_anom_12m,uWUE,0.11160447539123,1.03730806286214,0.0873387021339135,1.05137922144316,-0.0242657732573165,1.35650720213192,all_sites
M5_anom_24m,ETmax,0.325966770703388,0.057197936852955,0.306686441380632,0.0580102259372194,-0.019280329322756,1.42013703457982,all_sites
M5_anom_24m,GPPsat,0.281919220064911,7.61330489665093,0.279839907695841,7.62431967116004,-0.00207931236907,0.144677963888663,all_sites
M5_anom_24m,NEPmax,0.28456971673442,7.5503076622822,0.277892569852219,7.58545953514024,-0.006677146882201,0.465568748060987,all_sites
M5_anom_24m,WUE,0.202412594123518,1.09783438103004,0.174632981842521,1.11678928596096,-0.027779612280997,1.72657235539806,all_sites
M5_anom_24m,uWUE,0.115337938285387,1.03512613577264,0.0720364308415278,1.06015663541645,-0.0433015074438592,2.41811106673746,all_sites
M5_raw_12m,ETmax,0.501875020460412,0.0491709807486961,0.718128266625427,0.0369883938499853,0.216253246165015,-24.7759689011976,all_sites
M5_raw_12m,GPPsat,0.509784996052906,6.29042329793266,0.710133407136119,4.83710655362838,0.200348411083213,-23.1036398580984,all_sites
M5_raw_12m,NEPmax,0.549835455473109,5.98916988700359,0.763596396458267,4.34018293689078,0.213760940985158,-27.5328130813435,all_sites
M5_raw_12m,WUE,0.436429852770195,0.922829934733943,0.621713036521337,0.756063671819031,0.185283183751142,-18.0711804676115,all_sites
M5_raw_12m,uWUE,0.374541774586391,0.870369626103187,0.591589942920715,0.703319707156251,0.217048168334324,-19.192985823144,all_sites
M5_raw_24m,ETmax,0.54709065319941,0.0468862341329081,0.739537905178902,0.0355559244553305,0.192447251979492,-24.1655357635669,all_sites
M5_raw_24m,GPPsat,0.552655359520632,6.00907591524249,0.745473303186313,4.5326610305001,0.192817943665681,-24.569749252083,all_sites
M5_raw_24m,NEPmax,0.57826985062144,5.79693344117274,0.793134055895845,4.05999490787255,0.214864205274405,-29.9630580707306,all_sites
M5_raw_24m,WUE,0.458820062196348,0.904312487233524,0.618589638036672,0.759178547370562,0.159769575840324,-16.0490916482815,all_sites
M5_raw_24m,uWUE,0.39713916148761,0.854502050518523,0.606699038036409,0.690187479968842,0.209559876548799,-19.2292775014376,all_sites
M6_anom_12m,ETmax,0.385803313318057,0.0546001008490788,0.384124767094332,0.0546746586116408,-0.00167854622372499,0.136552426465455,all_sites
M6_anom_12m,GPPsat,0.446531095475595,6.68394987614899,0.438031622208223,6.73507615210573,-0.00849947326737199,0.76491112147892,all_sites
M6_anom_12m,NEPmax,0.487913527796373,6.3878195716825,0.491163634834243,6.36751621958531,0.00325010703787004,-0.317844796167937,all_sites
M6_anom_12m,WUE,0.198800695833788,1.10031736096662,0.158807946014552,1.12744473918094,-0.039992749819236,2.46541399569382,all_sites
M6_anom_12m,uWUE,0.134134713458155,1.0240702197537,0.119348817493366,1.03277694358358,-0.014785895964789,0.850207696887641,all_sites
