SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
IT-PT1,Parco Ticino forest,45.2009,9.061,60,DBF
IT-Ren,Renon,46.58686,11.43369,1687,ENF
IT-Ro1,Roccarespampani 1,42.4081,11.93,235,DBF
IT-Ro2,Roccarespampani 2,42.3903,11.9209,160,DBF
IT-SR,,43.732022,10.29091,4,ENF
IT-SR2,San Rossore 2,43.732,10.2909,4,ENF
IT-SRo,San Rossore,43.7279,10.2844,6,ENF
IT-Tor,Torgnon,45.84444,7.578055,2168,GRA
KR-CRK,Cheorwon Rice paddy,38.2013,127.2506,182,CRO
NL-Hor,Horstermeer,52.2403,5.0713,2.2,GRA
NL-Loo,Loobos,52.16644722,5.74355,33,ENF
NO-Hur,,60.3716329214,11.0794898767,319,ENF
PA-SPn,Sardinilla Plantation,9.3181,-79.6346,78,DBF
PA-SPs,Sardinilla-Pasture,9.3138,-79.6314,68,GRA
PH-RiF,Philippines Rice Institute flooded,14.1412,121.2653,27,CRO
RU-Ch2,Chersky reference,68.6169,161.3509,4,WET
RU-Che,Cherski,68.613,161.3414,6,WET
RU-Cok,Chokurdakh,70.8291,147.4943,48,OSH
RU-Fyo,Fyodorovskoye,56.4615,32.9221,265,ENF
RU-Ha1,Hakasia steppe,54.7252,90.0022,446,GRA
RU-SkP,Yakutsk Spasskaya Pad larch,62.255,129.168,246,DNF
RU-Tks,Tiksi,71.5943,128.8878,7,GRA
RU-Vrk,Seida/Vorkuta,67.0547,62.9405,100,CSH
SD-Dem,Demokeya,13.2829,30.4783,500,SAV
SE-Deg,Degero,64.182029,19.556539,265,WET
SE-Htm,,56.09763,13.41897,111,ENF
SE-Nor,,60.08649722,17.47950278,58,ENF
SE-St1,Stordalen grassland,68.3541,19.0503,351,WET
SE-Sto,,68.35594288,19.04520892,351.893,WET
SE-Svb,,64.25611,19.7745,305,ENF
SJ-Adv,Adventdalen,78.186,15.923,17,WET
SJ-Blv,"Bayelva, Spitsbergen",78.9216,11.8311,25,SNO
SN-Dhr,Dahra,15.4028,-15.4322,40,SAV
UK-AMo,,55.792546,-3.2436918,268,WET
UK-LBT,London_BT,51.5215,-0.1389,21,URB
US-A03,ARM-AMF3-Oliktok,70.4953,-149.8823,5,BSV
US-A10,ARM-NSA-Barrow,71.3242,-156.6149,4,BSV
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,611,GRA
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,646,GRA
US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,314,CRO
US-ARb,ARM Southern Great Plains burn site- Lamont,35.5497,-98.0402,424,GRA
US-ARc,ARM Southern Great Plains control site- Lamont,35.5465,-98.04,424,GRA
US-Atq,Atqasuk,70.4696,-157.4089,15,WET
US-BZB,Bonanza Creek Thermokarst Bog,64.6955,-148.3208,100,WET
US-BZF,Bonanza Creek Rich Fen,64.7013,-148.3121,95,WET
US-BZS,Bonanza Creek Black Spruce,64.6963,-148.3235,100,ENF
US-Bes,Barrow-Bes (Biocomplexity Experiment South tower),71.2809,-156.5965,4.6,WET
US-Bi1,Bouldin Island Alfalfa,38.0992,-121.4993,-2.7,CRO
US-Bi2,Bouldin Island corn,38.1091,-121.5351,-5,CRO
US-Blo,Blodgett Forest,38.8953,-120.6328,1315,ENF
US-CRT,Curtice Walter-Berger cropland,41.6285,-83.3471,180,CRO
US-Cop,Corral Pocket,38.09,-109.39,1520,GRA
US-DPW,Disney Wilderness Preserve Wetland,28.0521,-81.4361,23,WET
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",63.8784,-149.2536,662,OSH
US-GBT,GLEES Brooklyn Tower,41.3658,-106.2397,3191,ENF
US-GLE,GLEES,41.3665,-106.2399,3197,ENF
US-Goo,Goodwin Creek,34.2547,-89.8735,87,GRA
US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,340,DBF
US-Ho1,Howland Forest (main tower),45.2041,-68.7402,60,ENF
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),41.8406,-88.241,226.5,GRA
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,68.6058,-149.311,920,WET
US-Ivo,Ivotuk,68.4865,-155.7503,568,WET
US-KS1,Kennedy Space Center (slash pine),28.4583,-80.6709,1,ENF
US-KS2,Kennedy Space Center (scrub oak),28.6086,-80.6715,3,CSH
US-LA1,Pointe-aux-Chenes Brackish Marsh,29.5013,-90.4449,0,WET
US-LA2,Salvador WMA Freshwater Marsh,29.8587,-90.2869,0,WET
US-LWW,Little Washita Watershed,34.9604,-97.9789,365,GRA
US-Lin,Lindcove Orange Orchard,36.3566,-119.0922,131,CRO
US-Los,Lost Creek,46.0827,-89.9792,480,WET
US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,275,DBF
US-MRM,Marsh Resource Meadowlands Mitigation Bank,40.8164,-74.0435,1,WET
US-Me1,Metolius - Eyerly burn,44.5794,-121.5,896,ENF
US-Me2,Metolius mature ponderosa pine,44.4526,-121.5589,1253,ENF
US-Me3,Metolius-second young aged pine,44.3154,-121.6078,1005,ENF
US-Me4,Metolius-old aged ponderosa pine,44.4992,-121.6224,922,ENF
US-Me5,Metolius-first young aged pine,44.4372,-121.5668,1188,ENF
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,998,ENF
US-Myb,Mayberry Wetland,38.0499,-121.765,-4,WET
US-NC4,NC_AlligatorRiver,35.7879,-75.9038,1,WET
US-NGB,NGEE Arctic Barrow,71.28,-156.6092,5.273,SNO
US-NGC,NGEE Arctic Council,64.8618,-163.7002,35,GRA
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,3050,ENF
US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,361,CRO
US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,362,CRO
US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,363,CRO
US-ORv,Olentangy River Wetland Research Park,40.0201,-83.0183,221,WET
US-OWC,Old Woman Creek,41.3795,-82.5125,174,WET
US-Oho,Oak Openings,41.5545,-83.8438,230,DBF
US-PFa,Park Falls/WLEF,45.9459,-90.2723,470,MF
US-Prr,Poker Flat Research Range Black Spruce Forest,65.1237,-147.4876,210,ENF
US-SRC,Santa Rita Creosote,31.9083,-110.8395,950,OSH
US-SRG,Santa Rita Grassland,31.7894,-110.8277,1291,GRA
US-SRM,Santa Rita Mesquite,31.8214,-110.8661,1120,WSA
US-Snd,Sherman Island,38.0366,-121.754,-5,GRA
US-Sne,Sherman Island Restored Wetland,38.0369,-121.7547,-5,GRA
US-Srr,Suisun marsh - Rush Ranch,38.2006,-122.0264,8,WET
US-StJ,St Jones Reserve,39.0882,-75.4372,6.7,WET
US-Sta,Saratoga,41.3966,-106.8024,2069,OSH
US-Syv,Sylvania Wilderness Area,46.242,-89.3477,540,MF
US-Ton,Tonzi Ranch,38.4309,-120.966,177,WSA
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,-5,WET
US-Tw2,Twitchell Corn,38.0969,-121.6365,-5,CRO
US-Tw3,Twitchell Alfalfa,38.1152,-121.6469,-4,CRO
US-Tw4,Twitchell East End Wetland,38.1027,-121.6413,-5,WET
US-Tw5,East Pond Wetland,38.1072,-121.6426,-5,WET
US-Twt,Twitchell Island,38.1087,-121.6531,-7,CRO
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,234,DBF
US-UMd,UMBS Disturbance,45.5625,-84.6975,239,DBF
US-Uaf,"University of Alaska, Fairbanks",64.8663,-147.8555,155,ENF
US-Var,Vaira Ranch- Ione,38.4133,-120.9508,129,GRA
