site_id,n_years,first_year,last_year
BR-CST,2,2014,2015
CA-CF1,2,2007,2008
CN-Dan,2,2004,2005
CN-Du2,2,2007,2008
CN-HaM,2,2002,2003
DE-Zrk,2,2013,2014
EE-Pts,2,2022,2023
FI-Var,2,2017,2018
FR-CLt,2,2022,2023
FR-Lus,2,2023,2024
GH-Ank,2,2011,2012
IT-Cp2,2,2012,2013
IT-Isp,2,2013,2014
PE-QFR,2,2019,2022
RU-Fy3,2,2016,2017
US-A74,2,2016,2017
US-ALQ,2,2019,2020
US-ARb,2,2005,2006
US-ARc,2,2005,2006
US-CS1,2,2018,2019
US-CS3,2,2019,2020
US-CS6,2,2022,2023
US-EDN,2,2018,2019
US-KS1,2,2002,2003
US-LWW,2,1997,1998
US-Me1,2,2004,2005
US-OWC,2,2015,2016
US-RGF,2,2023,2024
US-Tw2,2,2012,2013
US-Tw5,2,2018,2019
US-Wi6,2,2002,2003
US-Wi9,2,2004,2005
AU-Rig,1,2011,2011
AU-Rob,1,2014,2014
CA-DB2,1,2020,2020
CN-Du3,1,2009,2009
DE-Geb,1,2001,2001
DK-Fou,1,2005,2005
GF-Guy,1,2015,2015
IE-Cra,1,2020,2020
IE-Gwr,1,2016,2016
NO-Hur,1,2024,2024
RU-Sam,1,2002,2002
RU-Vrk,1,2008,2008
SJ-Adv,1,2013,2013
US-ASH,1,2016,2016
US-ASM,1,2016,2016
US-Bi2,1,2017,2017
US-CS4,1,2020,2020
US-CS5,1,2021,2021
US-CS8,1,2023,2023
US-Cst,1,2013,2013
US-HB2,1,2019,2019
US-Hn2,1,2018,2018
US-Hn3,1,2018,2018
US-KS3,1,2018,2018
US-Lin,1,2010,2010
US-PFL,1,2019,2019
US-PFb,1,2019,2019
US-PFc,1,2019,2019
US-PFd,1,2019,2019
US-PFk,1,2019,2019
US-PFm,1,2019,2019
US-PFn,1,2019,2019
US-PFp,1,2019,2019
US-PFq,1,2019,2019
US-PFt,1,2019,2019
US-PSH,1,2016,2016
US-PSL,1,2016,2016
US-UTB,1,2023,2023
US-Wi0,1,2002,2002
US-Wi1,1,2003,2003
US-Wi2,1,2003,2003
US-Wi5,1,2004,2004
US-Wi7,1,2005,2005
US-Wi8,1,2002,2002
