"site_id","year","forest_mean_pct_500m","loss_area_frac_500m","loss_mean_pp_500m","loss_sum_pp_500m"
"FI-Lom",2022,32.9894726338373,0.000763358778625954,0.0172129920670558,135.294117647059
"FI-Lom",2023,38.3389213191638,0.000636132315521629,0.0151673901112608,119.21568627451
"FI-Lom",2024,36.4723344808661,0.0302798982188295,0.80746395250212,6346.66666666667
"FI-Lom",2025,34.748291173976,0.00979643765903308,0.25689767000948,2019.21568627451
"FI-Qvd",2016,19.4358628947762,NA,NA,NA
"FI-Qvd",2017,23.9566432170833,0.00267175572519084,0.0652097989322956,512.549019607843
"FI-Qvd",2018,28.3702539539989,0.00407124681933842,0.0926508007783266,728.235294117647
"FI-Qvd",2019,28.650202065559,0.00292620865139949,0.0688519682682233,541.176470588235
"FI-Qvd",2020,28.7798732724642,0.00572519083969466,0.150925510153171,1186.27450980392
"FI-Qvd",2021,32.8322107468942,0.00241730279898219,0.0590231003342813,463.921568627451
"FI-Qvd",2022,31.9493588784114,0.00203562340966921,0.049443696053485,388.627450980392
"FI-Qvd",2023,29.6812353440104,0.0179389312977099,0.468442847877064,3681.96078431373
"FI-Qvd",2024,30.3828768148481,0.0123409669211196,0.39614828119543,3113.72549019608
"FI-Qvd",2025,29.3408671356583,0.0209923664122137,0.600658584044305,4721.17647058824
"FI-Sii",2016,12.237589183256,NA,NA,NA
"FI-Sii",2017,12.8957740857157,0.00661577608142494,0.162799980042908,1279.60784313725
"FI-Sii",2018,15.9513545876366,0,0,0
"FI-Sii",2019,18.1244324701891,0,0,0
"FI-Sii",2020,20.3312877313775,0.000381679389312977,0.00883101332135908,69.4117647058823
"FI-Sii",2021,23.2555006735519,0,0,0
"FI-Sii",2022,22.9135857905503,0.000127226463104326,0.00264431472334481,20.7843137254902
"FI-Sii",2023,24.2856857755825,0,0,0
"FI-Sii",2024,24.6205158908347,0.000381679389312977,0.0104774734321209,82.3529411764706
"FI-Sii",2025,27.2968118545128,0,0,0
"FI-Var",2016,27.7205508157461,NA,NA,NA
"FI-Var",2017,52.3576310931497,0,0,0
"FI-Var",2018,59.5348500723445,0.00407124681933842,0.111709823878661,878.039215686274
"FI-Var",2019,59.334730329791,0.010941475826972,0.244474380082822,1921.56862745098
"FI-Var",2020,48.6456119343412,0.170101781170483,4.6579853315372,36611.7647058823
"FI-Var",2021,43.4642019657736,0.0137404580152672,0.31482313026992,2474.50980392157
"FI-Var",2022,48.3362770044405,0.00966921119592875,0.239734570673053,1884.3137254902
"FI-Var",2023,52.6447138651898,0.000127226463104326,0.00254452926208651,20
"FI-Var",2024,63.7445492191788,0,0,0
"FI-Var",2025,58.273112807464,0.00241730279898219,0.0529860799281545,416.470588235294
"FR-CLt",2017,1.23733971960285,NA,NA,NA
"FR-CLt",2018,2.79319463154218,0.000127226463104326,0.0028438856458614,22.3529411764706
"FR-CLt",2019,1.22511600059871,0.011323155216285,0.306491044254852,2409.01960784314
"FR-CLt",2020,2.05044155066607,0,0,0
"FR-CLt",2021,2.75023699047049,0.000508905852417303,0.0116748989672205,91.764705882353
"FR-CLt",2022,2.76295963678092,0.000381679389312977,0.00952951155016714,74.9019607843137
"FR-CLt",2023,1.96841790151175,0.00254452926208651,0.0619168787107718,486.666666666667
"FR-CLt",2024,2.62819937135159,0.000254452926208651,0.00548820036920621,43.1372549019608
"FR-CLt",2025,2.70697999301502,0.00127226463104326,0.0367210497430524,288.627450980392
"FR-EM2",2016,0.191139051040263,NA,NA,NA
"FR-EM2",2017,0.32594920920022,0.000381679389312977,0.00923015516639226,72.5490196078431
"FR-EM2",2018,0.222322007683481,0.00101781170483461,0.025395399890236,199.607843137255
"FR-EM2",2019,0.202863842738113,0.000127226463104326,0.00349249114404031,27.4509803921569
"FR-EM2",2020,0.291473332335479,0,0,0
"FR-EM2",2021,0.186199670707978,0.000381679389312977,0.00992865339520032,78.0392156862745
"FR-EM2",2022,0.160654592625854,0.00114503816793893,0.0285386419198723,224.313725490196
"FR-EM2",2023,0.203712019158809,0,0,0
"FR-EM2",2024,0.126577857606147,0,0,0
"FR-EM2",2025,0.17786758469291,0,0,0
"FR-Lam",2017,14.2057576211146,NA,NA,NA
"FR-Lam",2018,13.7624607094746,0.00954198473282443,0.22466696602305,1765.88235294118
"FR-Lam",2019,16.9391308686324,0.00152671755725191,0.035573516938582,279.607843137255
"FR-Lam",2020,20.1134061767201,0,0,0
"FR-Lam",2021,14.7432520081824,0.107888040712468,2.8748690315821,22596.4705882353
"FR-Lam",2022,18.0857157112209,0.000127226463104326,0.00264431472334481,20.7843137254902
"FR-Lam",2023,17.4912438257746,0.0162849872773537,0.415207304295764,3263.52941176471
"FR-Lam",2024,17.8488749189243,0.00712468193384224,0.189243127276356,1487.45098039216
"FR-Lam",2025,19.3795838946266,0.000127226463104326,0.00259442199271566,20.3921568627451
"FR-LBr",2017,23.8409419747543,NA,NA,NA
"FR-LBr",2018,30.6505513146735,0,0,0
"FR-LBr",2019,29.6109863792845,0.00114503816793893,0.0266427181559647,209.411764705882
"FR-LBr",2020,34.7508855959687,0.000127226463104326,0.0028438856458614,22.3529411764706
"FR-LBr",2021,34.4953350296862,0.000127226463104326,0.00264431472334481,20.7843137254902
"FR-LBr",2022,35.9093948011775,0.000381679389312977,0.00848176420695505,66.6666666666667
"FR-LBr",2023,28.9445192835404,0.0251908396946565,0.544579154817143,4280.39215686274
"FR-LBr",2024,39.0763857705932,0,0,0
"FR-LBr",2025,41.8205857406576,0,0,0
"FR-Lus",2016,0.175223269969565,NA,NA,NA
"FR-Lus",2017,0.456867734371102,0,0,0
"FR-Lus",2018,0.692012173826273,0,0,0
"FR-Lus",2019,0.627550765853415,0,0,0
"FR-Lus",2020,0.807763308885895,0,0,0
"FR-Lus",2021,0.637180062864841,0.000254452926208651,0.00543830763857706,42.7450980392157
"FR-Lus",2022,0.676545427331238,0,0,0
"FR-Lus",2023,0.69395799032081,0,0,0
"FR-Lus",2024,0.751184952352442,0,0,0
"FR-Lus",2025,1.06066956044504,0,0,0
"FR-Mej",2016,10.9638277702939,NA,NA,NA
"FR-Mej",2017,8.89961582597416,0.032824427480916,0.986030035423839,7750.19607843137
"FR-Mej",2018,10.3488998652896,0.00267175572519084,0.0671556154268323,527.843137254902
"FR-Mej",2019,11.0774834106671,0.00203562340966921,0.0505413361273262,397.254901960784
"FR-Mej",2020,10.2704684927406,0.00356234096692112,0.0804270817741855,632.156862745098
"FR-Mej",2021,10.3634186499027,0.00101781170483461,0.0231502270119244,181.960784313725
"FR-Mej",2022,9.78975203312877,0.00547073791348601,0.132465199820386,1041.17647058824
"FR-Mej",2023,10.0296362819937,0.000127226463104326,0.00264431472334481,20.7843137254902
"FR-Mej",2024,10.0233497979344,0.000381679389312977,0.0093798333582797,73.7254901960784
"FR-Mej",2025,10.2516589332934,0.00139949109414758,0.0325799531008332,256.078431372549
"FR-Tou",2017,9.93010028438856,NA,NA,NA
"FR-Tou",2018,11.049643266976,0.00139949109414758,0.0321808112558,252.941176470588
"FR-Tou",2019,10.1104625056129,0.000636132315521629,0.0134211445392406,105.490196078431
"FR-Tou",2020,9.67629596367809,0.00152671755725191,0.0389662226213641,306.274509803922
"FR-Tou",2021,6.13620715461757,0.0170483460559796,0.459711620016964,3613.33333333333
"FR-Tou",2022,6.95379933143741,0.00343511450381679,0.116699096941576,917.254901960784
"FR-Tou",2023,5.54103677094247,0.00674300254452926,0.202963628199371,1595.29411764706
"FR-Tou",2024,5.91009329940628,0.000508905852417303,0.0117247916978496,92.156862745098
"FR-Tou",2025,8.65174874020855,0,0,0
"GH-Ank",2017,26.9967070797785,NA,NA,NA
"GH-Ank",2018,54.4596617272863,0.0161577608142494,0.513296412712668,4034.50980392157
"GH-Ank",2019,77.5164895474729,0.000763358778625954,0.0199071995210298,156.470588235294
"GH-Ank",2020,86.2771042259143,0.00801526717557252,0.219228658384473,1723.13725490196
"GH-Ank",2021,82.3074888988674,0.0583969465648855,1.65968168437859,13045.0980392157
"GH-Ank",2022,89.2844384573168,0.000636132315521629,0.013870179114903,109.019607843137
"GH-Ank",2023,92.2110462505613,0.000254452926208651,0.00623659132864342,49.0196078431373
"GH-Ank",2024,86.6011575113506,0.027735368956743,0.684328693309385,5378.82352941176
"GH-Ank",2025,85.4954348151474,0.00216284987277354,0.0529860799281545,416.470588235294
"IE-CaC",2016,1.8827520830215,NA,NA,NA
"IE-CaC",2017,1.94486853265479,0.00279898218829517,0.0673551863493489,529.411764705882
"IE-CaC",2018,2.04989273062915,0.0044529262086514,0.113555854911939,892.549019607843
"IE-CaC",2019,2.1756224118146,0.000127226463104326,0.00289377837649055,22.7450980392157
"IE-CaC",2020,2.34336177218979,0,0,0
"IE-CaC",2021,2.24247867085766,0,0,0
"IE-CaC",2022,2.37893528912837,0,0,0
"IE-CaC",2023,2.67175572519084,0,0,0
"IE-CaC",2024,2.64261837050342,0,0,0
"IE-CaC",2025,2.57890535349,0.00114503816793893,0.0266427181559647,209.411764705882
"IE-CaN",2016,1.8827520830215,NA,NA,NA
"IE-CaN",2017,1.94486853265479,0.00279898218829517,0.0673551863493489,529.411764705882
"IE-CaN",2018,2.04989273062915,0.0044529262086514,0.113555854911939,892.549019607843
"IE-CaN",2019,2.1756224118146,0.000127226463104326,0.00289377837649055,22.7450980392157
"IE-CaN",2020,2.34336177218979,0,0,0
"IE-CaN",2021,2.24247867085766,0,0,0
"IE-CaN",2022,2.37893528912837,0,0,0
"IE-CaN",2023,2.67175572519084,0,0,0
"IE-CaN",2024,2.64261837050342,0,0,0
"IE-CaN",2025,2.57890535349,0.00114503816793893,0.0266427181559647,209.411764705882
"IE-Cra",2017,0.045701741256299,NA,NA,NA
"IE-Cra",2018,0.105672803472534,0,0,0
"IE-Cra",2019,0.161901910891583,0,0,0
"IE-Cra",2020,0.104425485206805,0.000381679389312977,0.0107768298158958,84.7058823529412
"IE-Cra",2021,0.133862196278002,0.000254452926208651,0.00548820036920621,43.1372549019608
"IE-Cra",2022,0.256598313625705,0,0,0
"IE-Cra",2023,0.801127575712219,0,0,0
"IE-Cra",2024,0.714912937185052,0.000127226463104326,0.00259442199271566,20.3921568627451
"IE-Cra",2025,0.362570473482014,0.00407124681933842,0.118545127974854,931.764705882353
"IE-Gwr",2016,0.943172179813401,NA,NA,NA
"IE-Gwr",2017,1.11814598612982,0.00139949109414758,0.0316818839495086,249.019607843137
"IE-Gwr",2018,0.651599062016664,0.00229007633587786,0.0563787856109365,443.137254901961
"IE-Gwr",2019,1.19403282941675,0,0,0
"IE-Gwr",2020,1.31143042458714,0,0,0
"IE-Gwr",2021,1.15187347203512,0.000636132315521629,0.0148181409968568,116.470588235294
"IE-Gwr",2022,1.56064461407973,0,0,0
"IE-Gwr",2023,1.57586189692162,0.000254452926208651,0.00648605498178915,50.9803921568627
"IE-Gwr",2024,1.78441351095145,0,0,0
"IE-Gwr",2025,1.39889238138003,0.00165394402035623,0.0400139699645762,314.509803921569
"IL-Yat",2017,27.1461358080128,NA,NA,NA
"IL-Yat",2018,29.7119193733473,0.00114503816793893,0.0248465798533154,195.294117647059
"IL-Yat",2019,28.9625804520281,0,0,0
"IL-Yat",2020,29.0449533502969,0.000508905852417303,0.0119742553509954,94.1176470588235
"IL-Yat",2021,29.696352841391,0.000127226463104326,0.00259442199271566,20.3921568627451
"IL-Yat",2022,28.8433867185551,0.0128498727735369,0.311929351893429,2451.76470588235
"IL-Yat",2023,26.1125081075687,0.000254452926208651,0.00643616225116001,50.5882352941177
"IL-Yat",2024,26.2817941425934,0.00165394402035623,0.0475477722895774,373.725490196078
"IL-Yat",2025,25.7906501022801,0.00139949109414758,0.0323304894476875,254.117647058824
"IT-BFt",2017,77.1013321359078,NA,NA,NA
"IT-BFt",2018,82.4659482113456,0.00190839694656489,0.0587736366811356,461.960784313725
"IT-BFt",2019,85.321808112558,0.00356234096692112,0.10592226712568,832.549019607843
"IT-BFt",2020,84.3741954797186,0.0044529262086514,0.120041909893728,943.529411764706
"IT-BFt",2021,84.7155615426832,0.00267175572519084,0.0691014319213691,543.137254901961
"IT-BFt",2022,83.3070398642918,0.00165394402035623,0.0404131118096093,317.647058823529
"IT-BFt",2023,82.3445591977249,0.000508905852417303,0.0139699645761613,109.803921568627
"IT-BFt",2024,79.3083370752881,0.0190839694656489,0.586738512198773,4611.76470588235
"IT-BFt",2025,81.1822581449883,0.000254452926208651,0.00643616225116,50.5882352941176
"IT-CA1",2017,7.68343062415806,NA,NA,NA
"IT-CA1",2018,8.00533852217732,0,0,0
"IT-CA1",2019,8.11435413860201,0.00089058524173028,0.0190590231003343,149.803921568627
"IT-CA1",2020,9.34151574115651,0.00152671755725191,0.0341266277503368,268.235294117647
"IT-CA1",2021,9.94546724542234,0,0,0
"IT-CA1",2022,9.75712218729731,0.0506361323155216,1.73631691862496,13647.4509803922
"IT-CA1",2023,6.33273462056578,0.0486005089058524,1.96228109564436,15423.5294117647
"IT-CA1",2024,6.18415406875218,0.00203562340966921,0.0440053884149079,345.882352941176
"IT-CA1",2025,4.7329741056728,0.0175572519083969,0.467993813301402,3678.43137254902
"IT-CA2",2017,2.63907598662875,NA,NA,NA
"IT-CA2",2018,2.60310332784513,0,0,0
"IT-CA2",2019,2.27810208052687,0.00089058524173028,0.0194082722147383,152.549019607843
"IT-CA2",2020,2.60345257695954,0.00254452926208651,0.0559297510352742,439.607843137255
"IT-CA2",2021,2.97505363468543,0,0,0
"IT-CA2",2022,5.47961881953799,0.00127226463104326,0.0280896073442099,220.78431372549
"IT-CA2",2023,4.29960584742803,0.00203562340966921,0.0479469141346106,376.862745098039
"IT-CA2",2024,2.8180412113955,0.00229007633587786,0.0491942324003393,386.666666666667
"IT-CA2",2025,1.48251259791448,0.0181933842239186,0.492990071346605,3874.90196078431
"IT-CA3",2017,8.0794292271616,NA,NA,NA
"IT-CA3",2018,8.30983385720701,0.000381679389312977,0.00848176420695505,66.6666666666667
"IT-CA3",2019,8.41301202414808,0.00139949109414758,0.0303347802225216,238.43137254902
"IT-CA3",2020,9.47582697201018,0.00292620865139949,0.0659581898917328,518.43137254902
"IT-CA3",2021,10.2924711869481,0.000763358778625954,0.0163149229157312,128.235294117647
"IT-CA3",2022,10.3172678740707,0.00648854961832061,0.151624008381979,1191.76470588235
"IT-CA3",2023,7.63508456817842,0.0407124681933842,1.69829865788555,13348.6274509804
"IT-CA3",2024,7.55535598463304,0.000127226463104326,0.00264431472334481,20.7843137254902
"IT-CA3",2025,6.72968118545128,0.0183206106870229,0.498079129870778,3914.90196078431
"IT-Col",2017,23.368358030235,NA,NA,NA
"IT-Col",2018,75.3703038467295,0.000127226463104326,0.00314324202963628,24.7058823529412
"IT-Col",2019,59.3064910442548,0.360178117048346,11.2528064660979,88447.0588235294
"IT-Col",2020,61.9278052187796,0.0468193384223919,1.14279299506062,8982.35294117647
"IT-Col",2021,35.9158808561593,0.647964376590331,22.6854762261139,178307.843137255
"IT-Col",2022,45.6160754378087,0.0173027989821883,0.452926208651399,3560
"IT-Col",2023,63.6112358429377,0.00241730279898219,0.0801776181210398,630.196078431373
"IT-Col",2024,57.0455520630644,0.115903307888041,3.0325300603702,23835.6862745098
"IT-Col",2025,63.90245971162,0.010559796437659,0.254502818939281,2000.39215686275
"IT-Cp2",2017,71.9194731327646,NA,NA,NA
"IT-Cp2",2018,80.4377588185401,0,0,0
"IT-Cp2",2019,84.7608641420945,0.000381679389312977,0.00818240782318016,64.3137254901961
"IT-Cp2",2020,87.262884797685,0.00139949109414758,0.0438058174923914,344.313725490196
"IT-Cp2",2021,86.5367459961084,0.00127226463104326,0.0293868183405678,230.980392156863
"IT-Cp2",2022,83.3614229406775,0.00343511450381679,0.0778326597814698,611.764705882353
"IT-Cp2",2023,80.2702689218181,0.0176844783715013,0.415057626103877,3262.35294117647
"IT-Cp2",2024,73.3390709973557,0.0601781170483461,1.54278301651449,12126.2745098039
"IT-Cp2",2025,70.4323205109016,0.0455470737913486,1.20700493938033,9487.05882352941
"IT-Cpz",2017,88.440602704186,NA,NA,NA
"IT-Cpz",2018,91.9550965424338,0.000127226463104326,0.0027441001846031,21.5686274509804
"IT-Cpz",2019,92.2722147383126,0.000127226463104326,0.00294367110711969,23.1372549019608
"IT-Cpz",2020,94.194132614878,0,0,0
"IT-Cpz",2021,93.8764655989622,0,0,0
"IT-Cpz",2022,93.8707778276705,0.000508905852417303,0.0119243626203662,93.7254901960784
"IT-Cpz",2023,93.3330838696802,0,0,0
"IT-Cpz",2024,91.8484258843486,0.000508905852417303,0.0115751135059622,90.9803921568627
"IT-Cpz",2025,92.9906201666417,0,0,0
"IT-Isp",2017,44.8899366362321,NA,NA,NA
"IT-Isp",2018,42.9139350396647,0.017175572519084,0.500723444594123,3935.6862745098
"IT-Isp",2019,45.0063862695205,0.00368956743002545,0.0957940428079629,752.941176470588
"IT-Isp",2020,45.597066307439,0.00521628498727735,0.134660479968069,1058.43137254902
"IT-Isp",2021,41.4491343611236,0.0360050890585242,1.03841740258444,8161.96078431373
"IT-Isp",2022,41.9165294616574,0.0089058524173028,0.291024297759816,2287.45098039216
"IT-Isp",2023,41.3125779573916,0.00547073791348601,0.140497929451679,1104.3137254902
"IT-Isp",2024,42.696751983236,0.00127226463104326,0.0324302749089458,254.901960784314
