SITE_ID,date,label,IGBP,start_time,end_time,longitude_min,longitude_max,latitude_min,latitude_max,t2mmax_mean,t2mmax_min,t2mmax_max,pei_30_mean,pei_30_min,pei_30_max,pei_90_mean,pei_90_min,pei_90_max,pei_180_mean,pei_180_min,pei_180_max,heat,drought30,drought90,drought180,compound,land_share,inth,intd30,intd90,intd180,volume,duration,area
IT-Isp,2003-08-11T02:00:00Z,36635,DBF,2003-08-03T00:00:00Z,2003-08-14T00:00:00Z,7.5,10.5,44.5,46.25,33.4286627432807,24.8055121982336,36.8221625153739,-1.28353699784465,-2.48662599306435,2.40893442685341,-0.972050262063494,-2.10860411654051,2.0313054122713,-0.468577107646338,-1.26132308217749,1.58090714003908,100,48.3,91.32,100,100,100,-27808.2561833892,-27064.0482478586,-27721.16285812,-27842.8890929285,281.840863287449,12 days,23.4867386072874
IT-Isp,2003-08-12T02:00:00Z,36635,DBF,2003-08-03T00:00:00Z,2003-08-14T00:00:00Z,7.5,10.5,44.5,46.25,33.4286627432807,24.8055121982336,36.8221625153739,-1.28353699784465,-2.48662599306435,2.40893442685341,-0.972050262063494,-2.10860411654051,2.0313054122713,-0.468577107646338,-1.26132308217749,1.58090714003908,100,48.3,91.32,100,100,100,-27808.2561833892,-27064.0482478586,-27721.16285812,-27842.8890929285,281.840863287449,12 days,23.4867386072874
IT-Isp,2003-08-13T02:00:00Z,36635,DBF,2003-08-03T00:00:00Z,2003-08-14T00:00:00Z,7.5,10.5,44.5,46.25,33.4286627432807,24.8055121982336,36.8221625153739,-1.28353699784465,-2.48662599306435,2.40893442685341,-0.972050262063494,-2.10860411654051,2.0313054122713,-0.468577107646338,-1.26132308217749,1.58090714003908,100,48.3,91.32,100,100,100,-27808.2561833892,-27064.0482478586,-27721.16285812,-27842.8890929285,281.840863287449,12 days,23.4867386072874
IT-Isp,2006-07-20T02:00:00Z,38878,DBF,2006-07-19T00:00:00Z,2006-07-26T00:00:00Z,7.5,10,44.75,46,33.8799292791245,30.1658022864386,36.2717327272119,-1.53212356061018,-2.20876187944778,1.19543580031842,-0.743742065790658,-1.57156411027164,1.02374984956342,0.553129233676981,-0.197824286092684,1.89913561780461,100,69.86,60.5,0,100,100,-11455.5736064004,-11280.8520607465,-11330.7364952814,-10883.842324079,116.13258934021,8 days,14.5165736675262
IT-Isp,2006-07-21T02:00:00Z,38878,DBF,2006-07-19T00:00:00Z,2006-07-26T00:00:00Z,7.5,10,44.75,46,33.8799292791245,30.1658022864386,36.2717327272119,-1.53212356061018,-2.20876187944778,1.19543580031842,-0.743742065790658,-1.57156411027164,1.02374984956342,0.553129233676981,-0.197824286092684,1.89913561780461,100,69.86,60.5,0,100,100,-11455.5736064004,-11280.8520607465,-11330.7364952814,-10883.842324079,116.13258934021,8 days,14.5165736675262
IT-Isp,2006-07-22T02:00:00Z,38878,DBF,2006-07-19T00:00:00Z,2006-07-26T00:00:00Z,7.5,10,44.75,46,33.8799292791245,30.1658022864386,36.2717327272119,-1.53212356061018,-2.20876187944778,1.19543580031842,-0.743742065790658,-1.57156411027164,1.02374984956342,0.553129233676981,-0.197824286092684,1.89913561780461,100,69.86,60.5,0,100,100,-11455.5736064004,-11280.8520607465,-11330.7364952814,-10883.842324079,116.13258934021,8 days,14.5165736675262
IT-Isp,2006-07-23T02:00:00Z,38878,DBF,2006-07-19T00:00:00Z,2006-07-26T00:00:00Z,7.5,10,44.75,46,33.8799292791245,30.1658022864386,36.2717327272119,-1.53212356061018,-2.20876187944778,1.19543580031842,-0.743742065790658,-1.57156411027164,1.02374984956342,0.553129233676981,-0.197824286092684,1.89913561780461,100,69.86,60.5,0,100,100,-11455.5736064004,-11280.8520607465,-11330.7364952814,-10883.842324079,116.13258934021,8 days,14.5165736675262
IT-Isp,2015-07-19T02:00:00Z,49336,DBF,2015-07-16T00:00:00Z,2015-07-24T00:00:00Z,8.5,11.25,44.75,45.75,34.7145234069741,30.3946146693083,37.4525966332105,-2.07633191532408,-2.70678746638976,-1.09997793769029,0.427764920663755,-0.379921414218449,3.05060283424431,1.03246525577381,0.371032801628467,2.61987194996218,100,100,0,0,100,100,-12434.0098847658,-12426.6857420072,-10451.064135742,-9448.63677388794,125.992556631565,9 days,13.9991729590628
IT-Isp,2015-07-20T02:00:00Z,49336,DBF,2015-07-16T00:00:00Z,2015-07-24T00:00:00Z,8.5,11.25,44.75,45.75,34.7145234069741,30.3946146693083,37.4525966332105,-2.07633191532408,-2.70678746638976,-1.09997793769029,0.427764920663755,-0.379921414218449,3.05060283424431,1.03246525577381,0.371032801628467,2.61987194996218,100,100,0,0,100,100,-12434.0098847658,-12426.6857420072,-10451.064135742,-9448.63677388794,125.992556631565,9 days,13.9991729590628
IT-Isp,2015-07-21T02:00:00Z,49336,DBF,2015-07-16T00:00:00Z,2015-07-24T00:00:00Z,8.5,11.25,44.75,45.75,34.7145234069741,30.3946146693083,37.4525966332105,-2.07633191532408,-2.70678746638976,-1.09997793769029,0.427764920663755,-0.379921414218449,3.05060283424431,1.03246525577381,0.371032801628467,2.61987194996218,100,100,0,0,100,100,-12434.0098847658,-12426.6857420072,-10451.064135742,-9448.63677388794,125.992556631565,9 days,13.9991729590628
IT-Isp,2015-07-22T02:00:00Z,49336,DBF,2015-07-16T00:00:00Z,2015-07-24T00:00:00Z,8.5,11.25,44.75,45.75,34.7145234069741,30.3946146693083,37.4525966332105,-2.07633191532408,-2.70678746638976,-1.09997793769029,0.427764920663755,-0.379921414218449,3.05060283424431,1.03246525577381,0.371032801628467,2.61987194996218,100,100,0,0,100,100,-12434.0098847658,-12426.6857420072,-10451.064135742,-9448.63677388794,125.992556631565,9 days,13.9991729590628
IT-Isp,2015-07-23T02:00:00Z,49336,DBF,2015-07-16T00:00:00Z,2015-07-24T00:00:00Z,8.5,11.25,44.75,45.75,34.7145234069741,30.3946146693083,37.4525966332105,-2.07633191532408,-2.70678746638976,-1.09997793769029,0.427764920663755,-0.379921414218449,3.05060283424431,1.03246525577381,0.371032801628467,2.61987194996218,100,100,0,0,100,100,-12434.0098847658,-12426.6857420072,-10451.064135742,-9448.63677388794,125.992556631565,9 days,13.9991729590628
IT-La2,1983-07-29T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-La2,1983-07-30T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-La2,1983-07-31T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-La2,1983-08-01T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-Lav,1983-07-29T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-Lav,1983-07-30T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-Lav,1983-07-31T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-Lav,1983-08-01T02:00:00Z,24668,ENF,1983-07-26T00:00:00Z,1983-08-01T00:00:00Z,9,11.75,45.25,46,32.5692572233871,27.802474387848,36.4381417329353,-1.37484612708312,-2.31555072486097,-0.445584343821952,1.65429648478878,0.146407640456672,3.21394012049163,1.96691670091436,0.695641227969752,3.12519948822322,100,100,0,0,100,100,-8418.92305507619,-8419.53024334532,-5581.85517360699,-5249.86801989152,85.339208304882,7 days,12.191315472126
IT-Lsn,1950-07-02T01:00:00Z,184,OSH,1950-06-30T00:00:00Z,1950-07-07T00:00:00Z,9.5,14,42.5,45.75,35.6011032618812,30.1370007277558,39.8911286016955,-2.46912015157857,-3.3136266996045,-1.25126784738248,-0.540294680546843,-1.72192182304693,1.12821705734984,0.391971763347792,-0.466691535376832,1.5150782181207,100,100,0,0,100,100,-28894.0882005333,-28845.8220439984,-26526.3826051842,-23679.9367699674,292.565344333649,8 days,36.5706680417061
IT-Lsn,1950-07-03T01:00:00Z,184,OSH,1950-06-30T00:00:00Z,1950-07-07T00:00:00Z,9.5,14,42.5,45.75,35.6011032618812,30.1370007277558,39.8911286016955,-2.46912015157857,-3.3136266996045,-1.25126784738248,-0.540294680546843,-1.72192182304693,1.12821705734984,0.391971763347792,-0.466691535376832,1.5150782181207,100,100,0,0,100,100,-28894.0882005333,-28845.8220439984,-26526.3826051842,-23679.9367699674,292.565344333649,8 days,36.5706680417061
IT-Lsn,1950-07-04T01:00:00Z,184,OSH,1950-06-30T00:00:00Z,1950-07-07T00:00:00Z,9.5,14,42.5,45.75,35.6011032618812,30.1370007277558,39.8911286016955,-2.46912015157857,-3.3136266996045,-1.25126784738248,-0.540294680546843,-1.72192182304693,1.12821705734984,0.391971763347792,-0.466691535376832,1.5150782181207,100,100,0,0,100,100,-28894.0882005333,-28845.8220439984,-26526.3826051842,-23679.9367699674,292.565344333649,8 days,36.5706680417061
IT-Lsn,1950-07-05T01:00:00Z,184,OSH,1950-06-30T00:00:00Z,1950-07-07T00:00:00Z,9.5,14,42.5,45.75,35.6011032618812,30.1370007277558,39.8911286016955,-2.46912015157857,-3.3136266996045,-1.25126784738248,-0.540294680546843,-1.72192182304693,1.12821705734984,0.391971763347792,-0.466691535376832,1.5150782181207,100,100,0,0,100,100,-28894.0882005333,-28845.8220439984,-26526.3826051842,-23679.9367699674,292.565344333649,8 days,36.5706680417061
IT-Lsn,1950-07-06T01:00:00Z,184,OSH,1950-06-30T00:00:00Z,1950-07-07T00:00:00Z,9.5,14,42.5,45.75,35.6011032618812,30.1370007277558,39.8911286016955,-2.46912015157857,-3.3136266996045,-1.25126784738248,-0.540294680546843,-1.72192182304693,1.12821705734984,0.391971763347792,-0.466691535376832,1.5150782181207,100,100,0,0,100,100,-28894.0882005333,-28845.8220439984,-26526.3826051842,-23679.9367699674,292.565344333649,8 days,36.5706680417061
IT-Lsn,1950-07-07T01:00:00Z,184,OSH,1950-06-30T00:00:00Z,1950-07-07T00:00:00Z,9.5,14,42.5,45.75,35.6011032618812,30.1370007277558,39.8911286016955,-2.46912015157857,-3.3136266996045,-1.25126784738248,-0.540294680546843,-1.72192182304693,1.12821705734984,0.391971763347792,-0.466691535376832,1.5150782181207,100,100,0,0,100,100,-28894.0882005333,-28845.8220439984,-26526.3826051842,-23679.9367699674,292.565344333649,8 days,36.5706680417061
IT-Lsn,1950-07-24T01:00:00Z,300,OSH,1950-07-18T00:00:00Z,1950-07-26T00:00:00Z,14,16.5,43.5,45,32.4999308492082,29.4681645316753,36.0653215566512,-2.94534720440705,-3.52040521704268,-2.44882095166728,-1.73862980821074,-2.34479761818214,-0.740981540447629,0.269264337302967,-0.381698795739221,0.997083727754192,100,91.24,8.76,0,100,100,-3181.15126814213,-3184.81169258573,-3138.60922006289,-2803.8001238257,32.295990884304,9 days,3.58844343158934
IT-Lsn,1950-07-25T01:00:00Z,300,OSH,1950-07-18T00:00:00Z,1950-07-26T00:00:00Z,14,16.5,43.5,45,32.4999308492082,29.4681645316753,36.0653215566512,-2.94534720440705,-3.52040521704268,-2.44882095166728,-1.73862980821074,-2.34479761818214,-0.740981540447629,0.269264337302967,-0.381698795739221,0.997083727754192,100,91.24,8.76,0,100,100,-3181.15126814213,-3184.81169258573,-3138.60922006289,-2803.8001238257,32.295990884304,9 days,3.58844343158934
