family,window,response,share,se,cc,n_vars,per_var,learner
relative_disturbance,24 months,NEPmax,37.208024611893,0.782323468004552,Combined index (rho = 0.97 with rel. mortality),10,3.7208024611893,XGBoost (Optuna)
relative_disturbance,24 months,WUE,39.2156703741188,0.783860844799745,Combined index (rho = 0.97 with rel. mortality),10,3.92156703741188,XGBoost (Optuna)
relative_mortality,12 months,ETmax,12.5660130822182,0.370994609371377,Standing mortality / deadwood,15,0.837734205481214,XGBoost (Optuna)
relative_mortality,12 months,GPPsat,10.9196969332066,0.24211423925231,Standing mortality / deadwood,15,0.727979795547103,XGBoost (Optuna)
relative_mortality,12 months,NEPmax,9.1726122656942,0.217394976441712,Standing mortality / deadwood,15,0.611507484379613,XGBoost (Optuna)
relative_mortality,12 months,WUE,10.2246403791026,0.392154619622428,Standing mortality / deadwood,15,0.681642691940176,XGBoost (Optuna)
relative_mortality,24 months,ETmax,16.6182189436406,0.247515848867267,Standing mortality / deadwood,15,1.10788126290938,XGBoost (Optuna)
relative_mortality,24 months,GPPsat,14.0042901387531,0.26002189400611,Standing mortality / deadwood,15,0.933619342583538,XGBoost (Optuna)
relative_mortality,24 months,NEPmax,1.49858644821719,0.0347645294138778,Standing mortality / deadwood,15,0.0999057632144795,XGBoost (Optuna)
relative_mortality,24 months,WUE,8.25975862916288,0.319542650279396,Standing mortality / deadwood,15,0.550650575277525,XGBoost (Optuna)
relative_tree_loss_pct,12 months,ETmax,17.3783424745368,0.468442200650862,Tree cover change,10,1.73783424745368,XGBoost (Optuna)
relative_tree_loss_pct,12 months,GPPsat,7.34724481628831,0.247999177250171,Tree cover change,10,0.734724481628831,XGBoost (Optuna)
relative_tree_loss_pct,12 months,NEPmax,9.41417813513812,0.327244847137342,Tree cover change,10,0.941417813513812,XGBoost (Optuna)
relative_tree_loss_pct,12 months,WUE,4.97362063690906,0.181383421168726,Tree cover change,10,0.497362063690906,XGBoost (Optuna)
relative_tree_loss_pct,24 months,ETmax,10.1620989621098,0.253477758130326,Tree cover change,10,1.01620989621098,XGBoost (Optuna)
relative_tree_loss_pct,24 months,GPPsat,8.14768633636522,0.235394175991354,Tree cover change,10,0.814768633636522,XGBoost (Optuna)
relative_tree_loss_pct,24 months,NEPmax,16.2015352705441,0.799886196769688,Tree cover change,10,1.62015352705441,XGBoost (Optuna)
relative_tree_loss_pct,24 months,WUE,3.12922174927914,0.107606481190545,Tree cover change,10,0.312922174927914,XGBoost (Optuna)
relative_tree_loss_pct_thresh,12 months,ETmax,11.9226010666623,0.383721699605858,Tree cover change,10,1.19226010666623,XGBoost (Optuna)
relative_tree_loss_pct_thresh,12 months,GPPsat,4.50398124373971,0.188009366046236,Tree cover change,10,0.450398124373971,XGBoost (Optuna)
relative_tree_loss_pct_thresh,12 months,NEPmax,3.2488806685033,0.148680301641903,Tree cover change,10,0.32488806685033,XGBoost (Optuna)
relative_tree_loss_pct_thresh,12 months,WUE,4.25668018957146,0.155549260145299,Tree cover change,10,0.425668018957146,XGBoost (Optuna)
relative_tree_loss_pct_thresh,24 months,ETmax,6.2864870870648,0.15874490372621,Tree cover change,10,0.62864870870648,XGBoost (Optuna)
