trial,value,colsample_bytree,learning_rate,max_depth,min_child_weight,nrounds,reg_lambda,subsample
34,0.57984600,0.7658648976076627,0.02142831981613962,6,14.063811369485336,800,0.07403162083334622,0.7084568363158881
35,0.57742485,0.7810612557145862,0.020905026144349897,6,13.404584712815808,400,0.06639477717194404,0.7118036113837795
36,0.57338437,0.7883481057863736,0.020021663075699542,6,14.297961657650022,400,0.10067030015810116,0.7164167912278077
37,0.57454619,0.7797064660413002,0.020367536863671147,6,14.116881126875963,400,0.06762079459161882,0.7226866636494029
38,0.57979736,0.7639178229209044,0.022894650461601874,6,13.794197917451728,400,0.06698431792988199,0.7255243750989216
39,0.57765486,0.7593315220145285,0.02187949213344079,6,13.61877223794036,400,0.0013048187011086344,0.7198564847285109
40,0.58137096,0.7517856813222313,0.022213659747817978,6,12.430998116432715,400,0.07326780522532662,0.7808294669072635
41,0.58068975,0.7466368633274681,0.02118823219737139,6,12.667929843377067,400,0.08058509957944748,0.7796988924811088
42,0.61646398,0.7013529678394612,0.010021993023495315,6,12.787759158753357,200,0.061383812841448566,0.7771532692138645
43,0.59390469,0.7259684979062441,0.014332413624684225,6,12.375090485578877,200,0.059240871114213264,0.7734001908928998
44,0.60241760,0.5674165883613351,0.014498330245309016,5,12.311127740922814,200,0.0654960018305491,0.7837069437284797
45,0.59610229,0.7046402731614678,0.014229683721497112,4,12.60093801771097,200,0.04983251613741186,0.7792764642523538
46,0.58564162,0.5814232082426338,0.014545013652439471,5,12.335380154299282,400,0.035952276963168744,0.7869439487959414
47,0.58670597,0.5851144130996311,0.01753213367589823,5,10.180850208497695,400,0.004839988272637432,0.8244958853637457
48,0.58403591,0.6436061955687724,0.01773838950970784,6,10.86258586418662,400,0.003943128779429332,0.7510763374728209
49,0.58935450,0.628202229702666,0.0175712757537798,5,10.783189543268549,300,0.005093872399337698,0.8329172220053221
