model,response,R2_base,RMSE_base,R2_e1,RMSE_e1,R2_e2,RMSE_e2,dataset,mem
M2_24m,GPPsat,0.433500386481819,6.76217460409121,0.426721791813836,6.80251155424058,0.433500386481819,6.76217460409121,All sites (112),none
M2_24m,NEPmax,0.478129365636614,6.44855515868096,0.48684563760865,6.39447658917951,0.478129365636614,6.44855515868096,All sites (112),none
M2_24m,WUE,0.20102154098681,1.0987913173253,0.141942524634877,1.13869096115186,0.20102154098681,1.0987913173253,All sites (112),none
M2_24m,uWUE,0.138507349240804,1.02148116009945,0.110433279032738,1.03799159359238,0.138507349240804,1.02148116009945,All sites (112),none
M3_12m,ETmax,0.427860115674838,0.0526975982401324,0.431370202266928,0.0525356992754488,0.427860115674838,0.0526975982401324,All sites (112),none
M3_12m,GPPsat,0.339812834563454,7.2999537725484,0.285643066059461,7.59353857861391,0.339812834563454,7.2999537725484,All sites (112),none
M3_12m,NEPmax,0.343835191033598,7.23081843376283,0.305159814220176,7.44086547579583,0.343835191033598,7.23081843376283,All sites (112),none
M3_12m,WUE,0.192257043334672,1.10480154659326,0.136771885487174,1.14211667386333,0.192257043334672,1.10480154659326,All sites (112),none
M3_12m,uWUE,0.0662976302682405,1.0634297435036,0.0443598419256538,1.07585010928692,0.0662976302682405,1.0634297435036,All sites (112),none
M3_24m,ETmax,0.42073521505855,0.053024706573905,0.438224501601072,0.0522181049872836,0.42073521505855,0.053024706573905,All sites (112),none
M3_24m,GPPsat,0.338425766473605,7.30761843232352,0.286101949403074,7.59109924613062,0.338425766473605,7.30761843232352,All sites (112),none
M3_24m,NEPmax,0.360461220520192,7.13862273805771,0.304807516424559,7.44275157015746,0.360461220520192,7.13862273805771,All sites (112),none
M3_24m,WUE,0.177697901069356,1.11471381382862,0.126181723445381,1.14910111401617,0.177697901069356,1.11471381382862,All sites (112),none
M3_24m,uWUE,0.0781728848764828,1.05664550982971,0.0235345025420267,1.08750941080867,0.0781728848764828,1.05664550982971,All sites (112),none
M4_12m,ETmax,0.455535215344817,0.0514072779032749,0.440445605145426,0.0521147748442624,0.455535215344817,0.0514072779032749,All sites (112),none
M4_12m,GPPsat,0.455067252664754,6.63220627299323,0.392490452169826,7.00266136669997,0.455067252664754,6.63220627299323,All sites (112),none
M4_12m,NEPmax,0.498008863507579,6.32454101854362,0.452267798670239,6.60640396330442,0.498008863507579,6.32454101854362,All sites (112),none
M4_12m,WUE,0.180423803957233,1.1128646613058,0.135009254979058,1.14328212657038,0.180423803957233,1.1128646613058,All sites (112),none
M4_12m,uWUE,0.104315937109604,1.04155449128255,0.0795825852797268,1.05583726526511,0.104315937109604,1.04155449128255,All sites (112),none
